gynecology,英文名称,英文名称小写,房间名称,房间描述,房间数量,房间面积,面宽,进深,高度,房间类型,房间楼层,医生数量,交通权重,布局权重,窗子权重,最小面积,最大面积,最小数量,最大数量
,waiting_triage_area,waiting_triage_area,候诊分诊,描述,,45.36,8.4,5.4,4.5,公共,0,0,22,22,3,20,250,1,1
,patient_restroom,patient_restroom,病人厕所,描述,,27.54,5.1,5.4,4.5,公共,0,0,21,21,1,15,99.9,1,1
,reception,reception,接待/登记,描述,,16.2,3,5.4,4.5,公共,0,1,20,20,2,4,20,1,1
,nurse_station,nurse_station,护士站,描述,,29.16,5.4,5.4,4.5,公共,0,2,19,19,2,4,50,1,1
,examination,examination,综合诊室,描述,,16.2,3,5.4,4.5,诊疗,0,2,18,18,3,8.6,17.5,1,20
,therapeutic_room,therapeutic_room,治疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,17,17,3,15,99.9,1,5
,Bone_Density_Imaging_Room,bone_density_imaging_room,骨密度影像室,描述,,24.3,4.5,5.4,4.5,医技,0,1,16,16,2,15,99.9,1,1
,cavity,cavity,腔镜室(厕所),描述,,24.3,4.5,5.4,4.5,医技,0,1,15,15,1,15,99.9,1,1
,Gynecology_ultrasound_room,gynecology_ultrasound_room,妇科B超室(厕所),描述,,24.3,4.5,5.4,4.5,医技,0,1,14,14,1,15,99.9,1,1
,Mammography,mammography,乳腺X线钼靶照相,描述,,24.3,4.5,5.4,4.5,医技,0,1,13,13,2,15,99.9,1,1
,Specialized_gynecological_examinations,specialized_gynecological_examinations,妇科疾病专科检查,描述,,24.3,4.5,5.4,4.5,医技,0,1,12,12,1,15,99.9,1,5
,consultation_room,consultation_room,会诊室,描述,,37.26,6.9,5.4,4.5,诊疗,0,0,11,11,2,30,60,1,1
,cellblock,cellblock,细胞室,描述,,24.3,4.5,5.4,4.5,医技,0,1,10,10,,15,99.9,1,1
,colposcopy_room,colposcopy_room,阴道镜检查室,描述,,24.3,4.5,5.4,4.5,医技,0,1,9,9,1,15,99.9,1,1
,Cervical_lesion_treatment_room,cervical_lesion_treatment_room,宫颈病变治疗室,描述,,24.3,4.5,5.4,4.5,医技,0,1,8,8,1,15,99.9,1,1
,cytogenetic_cell,cytogenetic_cell,细胞遗传室,描述,,24.3,4.5,5.4,4.5,医技,0,1,7,7,2,15,99.9,1,1
,clean_room,clean_room,清洁品室,描述,,17.82,3.3,5.4,4.5,后勤,0,0,6,6,1,10,99.9,1,1
,soiled_utility_room,soiled_utility_room,污洗室,描述,,17.82,3.3,5.4,4.5,后勤,0,0,5,5,1,10,99.9,1,1
,doctor_restroom,doctor_restroom,医务人员更衣/厕所,描述,,27.54,5.1,5.4,4.5,后勤,0,0,4,4,1,15,40,1,2
,doctor_office,doctor_office,医护人员/办公室/用房,描述,,17.82,3.3,5.4,4.5,后勤,0,2,3,3,1,10,99.9,1,10
,storage_room,storage_room,储藏室,描述,,17.82,3.3,5.4,4.5,保障,0,0,2,2,0,10,99.9,1,5
,other_rooms,other_rooms,其它用房,描述,,17.82,3.3,5.4,4.5,保障,0,0,1,1,0,10,99.9,1,5
