obstetrics,英文名称,英文名称小写,房间名称,房间描述,房间数量,房间面积,面宽,进深,高度,房间类型,房间楼层,医生数量,交通权重,布局权重,窗子权重,最小面积,最大面积,最小数量,最大数量
,waiting_triage_area,waiting_triage_area,候诊分诊,描述,,45.36,8.4,5.4,4.5,公共,0,0,23,23,3,20,250,1,1
,patient_restroom,patient_restroom,病人厕所,描述,,27.54,5.1,5.4,4.5,公共,0,0,22,22,1,15,99.9,1,1
,reception,reception,接待/登记,描述,,16.2,3,5.4,4.5,公共,0,1,21,21,2,4,20,1,1
,nurse_station,nurse_station,护士站,描述,,29.16,5.4,5.4,4.5,公共,0,2,20,20,2,4,50,1,1
,examination,examination,综合诊室,描述,,16.2,3,5.4,4.5,诊疗,0,2,19,19,3,8.6,17.5,1,20
,therapeutic_room,therapeutic_room,治疗室,描述,,24.3,4.5,5.4,4.5,诊疗,0,1,18,18,3,15,99.9,1,5
,Specialized_obstetric_examinations,specialized_obstetric_examinations,产科专科检查,描述,,24.3,4.5,5.4,4.5,医技,0,1,17,17,1,15,99.9,1,5
,consultation_room,consultation_room,会诊室,描述,,37.26,6.9,5.4,4.5,诊疗,0,0,16,16,2,30,60,1,1
,Pregnancy_Disease_Clinic,pregnancy_disease_clinic,妊娠疾病诊察室,描述,,16.2,3,5.4,4.5,诊疗,0,1,15,15,2,8.6,17.5,1,20
,ultrasound_examination_room,ultrasound_examination_room,B超检查室,描述,,24.3,4.5,5.4,4.5,医技,0,1,14,14,1,15,99.9,1,1
,blood_extraction_room,blood_extraction_room,抽血室,描述,,24.3,4.5,5.4,4.5,医技,0,1,13,13,2,15,99.9,1,1
,fetal_heart_clinic,fetal_heart_clinic,胎心监护室,描述,,24.3,4.5,5.4,4.5,医技,0,1,12,12,2,15,99.9,1,1
,Prenatal_Diagnostic_Laboratory,prenatal_diagnostic_laboratory,产前诊断小手术室,描述,,24.3,4.5,5.4,4.5,医技,0,1,11,11,2,20,99.9,1,5
,Health_Promotion_Room,health_promotion_room,健康宣教室,描述,,37.26,6.9,5.4,4.5,公共,0,1,10,10,2,10,99.9,1,1
,Genetic_Clinic_Counseling_Room,genetic_clinic_counseling_room,遗传门诊咨询室,描述,,17.82,3.3,5.4,4.5,公共,0,1,9,9,2,10,99.9,1,1
,restroom,restroom,卫生间,描述,,17.82,3.3,5.4,4.5,后勤,0,0,8,8,1,10,99.9,1,1
,clean_room,clean_room,清洁物品室,描述,,17.82,3.3,5.4,4.5,后勤,0,0,7,7,1,10,99.9,1,1
,soiled_utility_room,soiled_utility_room,污物室,描述,,17.82,3.3,5.4,4.5,后勤,0,0,6,6,1,10,99.9,1,1
,scrubber_room,scrubber_room,清洗室,描述,,17.82,3.3,5.4,4.5,后勤,0,0,5,5,1,10,99.9,1,1
,doctor_restroom,doctor_restroom,医务人员更衣/厕所,描述,,27.54,5.1,5.4,4.5,后勤,0,0,4,4,1,15,40,1,2
,doctor_office,doctor_office,医护人员/办公室/用房,描述,,17.82,3.3,5.4,4.5,后勤,0,2,3,3,1,10,99.9,1,10
,storage_room,storage_room,储藏室,描述,,17.82,3.3,5.4,4.5,保障,0,0,2,2,0,10,99.9,1,5
,other_rooms,other_rooms,其它用房,描述,,17.82,3.3,5.4,4.5,保障,0,0,1,1,0,10,99.9,1,5
